id;apellido;fechaHora
CITA-066;Hernández;2025-03-01T08:20
CITA-065;Medina;2025-03-01T13:35
CITA-014;Hernández;2025-03-02T08:50
CITA-098;García;2025-03-02T10:50
CITA-064;Sánchez;2025-03-02T11:15
CITA-041;López;2025-03-07T08:10
CITA-076;Morales;2025-03-03T12:30
CITA-025;Pérez;2025-03-03T14:20
CITA-051;Pérez;2025-03-03T16:40
CITA-038;Rodríguez;2025-03-04T08:55
CITA-003;Silva;2025-03-04T10:10
CITA-074;Silva;2025-03-04T15:25
CITA-018;Romero;2025-03-05T08:25
CITA-013;Rodríguez;2025-03-05T11:40
CITA-057;Ramírez;2025-03-05T14:05
CITA-083;Martínez;2025-03-05T16:25
CITA-063;Guerrero;2025-03-06T11:45
CITA-043;Medina;2025-03-06T12:10
CITA-019;Torres;2025-03-03T11:25
CITA-091;Mendoza;2025-03-30T08:50
CITA-047;Castillo;2025-03-07T14:45
CITA-027;Mendoza;2025-03-07T17:10
CITA-032;Cedeño;2025-03-08T10:15
CITA-079;López;2025-03-08T11:10
CITA-006;Cruz;2025-03-09T14:45
CITA-005;Martínez;2025-03-22T11:25
CITA-055;Medina;2025-03-10T11:35
CITA-095;Silva;2025-03-10T13:20
CITA-080;Jiménez;2025-03-11T13:40
CITA-067;López;2025-03-11T13:55
CITA-070;Martínez;2025-03-20T11:50
CITA-001;Cruz;2025-03-11T16:40
CITA-082;Hernández;2025-03-11T17:25
CITA-075;Ramírez;2025-03-13T09:05
CITA-033;Torres;2025-03-13T10:40
CITA-094;Herrera;2025-03-13T10:50
CITA-077;Guerrero;2025-03-13T11:05
CITA-078;Alvarez;2025-03-13T13:10
CITA-012;García;2025-03-13T15:55
CITA-069;Ortiz;2025-03-14T08:15
CITA-020;Moreno;2025-03-14T13:45
CITA-029;Ramos;2025-03-15T09:30
CITA-036;Mendoza;2025-03-15T09:55
CITA-052;Medina;2025-03-15T10:35
CITA-049;Moreno;2025-03-15T14:55
CITA-035;Romero;2025-03-15T15:05
CITA-099;Hernández;2025-03-16T13:40
CITA-048;Díaz;2025-03-16T16:45
CITA-054;Hernández;2025-03-28T12:05
CITA-088;Pérez;2025-03-17T12:05
CITA-044;Reyes;2025-03-17T14:45
CITA-046;Moreno;2025-03-18T08:35
CITA-085;Rodríguez;2025-03-18T09:10
CITA-039;Sánchez;2025-03-18T09:35
CITA-100;Ramos;2025-03-18T10:20
CITA-034;Herrera;2025-03-18T10:40
CITA-030;Alvarez;2025-03-18T14:15
CITA-009;Cruz;2025-03-18T15:55
CITA-037;Fernández;2025-03-18T16:25
CITA-089;Reyes;2025-03-19T08:05
CITA-007;Mendoza;2025-03-19T08:50
CITA-056;García;2025-03-19T09:55
CITA-011;Medina;2025-03-20T11:05
CITA-031;Martínez;2025-03-11T16:35
CITA-023;Hernández;2025-03-20T15:00
CITA-010;Díaz;2025-03-21T11:00
CITA-024;Ramírez;2025-03-21T17:15
CITA-008;Rodríguez;2025-03-22T08:00
CITA-096;Díaz;2025-03-22T10:05
CITA-097;Díaz;2025-03-22T10:05
CITA-040;Cruz;2025-03-10T10:45
CITA-072;González;2025-03-22T17:40
CITA-053;López;2025-03-23T08:05
CITA-042;Jiménez;2025-03-23T08:45
CITA-015;Torres;2025-03-23T09:15
CITA-061;Martínez;2025-03-23T09:50
CITA-016;Rodríguez;2025-03-23T10:05
CITA-021;Guerrero;2025-03-23T11:10
CITA-022;Rodríguez;2025-03-23T17:00
CITA-084;Sánchez;2025-03-24T14:40
CITA-045;Díaz;2025-03-24T17:50
CITA-093;Moreno;2025-03-27T13:45
CITA-028;Jiménez;2025-03-27T14:20
CITA-086;Pérez;2025-03-27T15:00
CITA-050;Medina;2025-03-17T11:30
CITA-092;Alvarez;2025-03-28T13:30
CITA-059;Herrera;2025-03-28T14:15
CITA-004;Martínez;2025-03-28T14:40
CITA-017;Fernández;2025-03-28T16:35
CITA-026;Guerrero;2025-03-29T10:05
CITA-068;Pérez;2025-03-29T12:00
CITA-002;Guerrero;2025-03-29T13:10
CITA-090;Alvarez;2025-03-29T15:20
CITA-071;Rodríguez;2025-03-07T10:45
CITA-062;Ortiz;2025-03-30T09:55
CITA-058;López;2025-03-30T13:05
CITA-073;Romero;2025-03-31T08:30
CITA-087;Naranjo;2025-03-31T10:45
CITA-060;Rodríguez;2025-03-31T11:30
CITA-081;Ramos;2025-03-31T12:05
